Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
12,4,0.0265503,-0.0793457,-0.0012207,0.0488281,0.022583,0.0631714,0.0338745,0.0302124,0.0332642,0.0488281,-0.0140381,0.0012207,0.0305176
13,0,0.0128174,-0.0479126,-0.0201416,0.0494385,0.098877,0.00183105,0.0335693,0.0534058,0.0350952,0.020752,-0.0256348,0.0158691,0.050354
13,1,0.0164795,-0.10437,-0.0146484,0.0460815,0.0186157,-0.00152588,0.0262451,0.0247192,0.0335693,0.0299072,-0.0286865,0.0234985,0.0921631
13,2,0.0231934,0.0805664,-0.00915527,0.0491333,0.0576782,0.0164795,0.0378418,0.0189209,0.0402832,0.00915527,-0.0305176,0.0109863,0.00976562
13,3,0.0408936,0.100098,-0.0244141,0.0524902,0.0405884,0.0332642,0.0424194,0.0439453,0.0311279,0.0204468,-0.0344849,0.010376,0.0927734
13,4,0.0231934,0.0195312,-0.0280762,0.0460815,0.0424194,0.0613403,0.0228882,0.0375366,0.0921631,0.0396729,-0.0177002,0.0765991,0.0842285
14,0,0.0250244,0.0762939,-0.0192261,0.0439453,0.0454712,0.00640869,0.022583,0.0216675,0.0485229,0.0317383,-0.0140381,0.0289917,0.00213623
14,1,0.0506592,0.0802612,0.0494385,0.0402832,0.0457764,0.0106812,0.0158691,0.0427246,0.0323486,0.0357056,-0.0219727,0.0186157,-0.0497437
14,2,0.0418091,0.0506592,0.027771,0.0836182,0.0387573,-0.0186157,-0.022583,0.03479,0.0244141,0.0250244,-0.0204468,0.0241089,-0.0158691
14,3,0.0350952,0.0735474,-0.000305176,0.0283813,0.0250244,0.0234985,0.0344849,0.0494385,0.0180054,0.0250244,-0.0283813,0.0305176,-0.241394
14,4,0.00640869,0.0241089,0.00366211,0.0247192,0.0463867,0.0518799,0.050354,-0.00335693,0.0210571,0.0088501,-0.0180054,0.0119019,-0.138855
15,0,0.0228882,-0.027771,-0.0119019,0.0350952,0.0247192,0.0708008,0.03479,0.043335,0.0128174,-0.00732422,-0.0320435,-0.000610352,0.0787354
15,1,0.00640869,-0.0253296,-0.00152588,0.0396729,0.0305176,0.0671387,0.0247192,0.0418091,0.0170898,-0.00518799,-0.0146484,0.0646973,0.11261
15,2,0.0109863,0.0564575,-0.00213623,0.0744629,0.0296021,0.0561523,0.0222778,0.0405884,0.0326538,0.00640869,-0.0265503,0.00701904,-0.113525
15,3,0.0183105,0.100708,-0.00427246,0.0543213,-0.00579834,0.0491333,0.0228882,0.0909424,0.0256348,0.000915527,-0.010376,0.00976562,-0.150452
15,4,0.0360107,0.183105,0.0469971,0.0424194,0.0106812,0.050354,0.0234985,0.0363159,0.0134277,-0.0177002,-0.017395,0.012207,0.0738525
16,0,0.0115967,0.132446,0.0140381,0.0469971,0.0210571,0.0439453,0.0393677,0.0378418,0.0228882,-0.0479126,-0.0140381,0.0161743,-0.0402832
16,1,0.0158691,0.0616455,0.0167847,0.0387573,0.0350952,0.0921631,0.0286865,0.0448608,0.00366211,-0.0140381,-0.00976562,-0.0106812,0.177307
16,2,0.0183105,0.0869751,-0.0146484,0.0524902,0.0299072,0.0454712,0.0436401,0.0344849,0.0125122,-0.00579834,-0.00762939,0.0274658,0.18219
16,3,0.0302124,0.0366211,-0.00671387,0.0674438,0.022583,0.0646973,0.0219727,0.0317383,0.045166,-0.0170898,-0.0131226,0.0088501,0.193787
16,4,-0.027771,0.0906372,-0.0137329,0.0601196,0.022583,0.057373,0.0332642,0.0308228,0.0408936,0.000915527,0.0012207,0.0256348,0.167847
17,0,-0.00488281,0.0253296,-0.00488281,0.0714111,0.0170898,0.0341797,0.032959,0.0213623,0.0128174,0.00732422,0.00976562,-0.0198364,0.150757
17,1,0.00183105,0.0131226,0.0195312,0.0314331,0.00823975,0.0186157,-0.0167847,0.0402832,0.03479,-0.0344849,-0.0280762,0.0088501,0.0808716
17,2,0.0167847,0.00152588,0.03479,0.0500488,0.00610352,0.0183105,0.0311279,0.050354,0.0332642,0.00793457,-0.0210571,-0.00915527,0.132751
17,3,0.00457764,0.00183105,0.0595093,0.0808716,-0.00762939,0.0427246,0.0314331,-0.012207,0.0430298,0.0088501,-0.0396729,0.00274658,0.108948
17,4,-0.00152588,0,0.0646973,0.0488281,0.0231934,-0.0390625,0.0256348,0.0372314,0.0109863,0.00732422,-0.062561,0.00793457,0.124512
18,0,0.010376,0.000305176,0.0189209,0.0585938,-0.045166,0.0164795,0.0268555,0.0933838,0.00701904,0.00183105,-0.00549316,0.00640869,0.111084
18,1,0.0335693,0.0216675,-0.0424194,0.0686646,0.00976562,0.0210571,0.0628662,0.0344849,0.0357056,-0.0012207,-0.0241089,0.00701904,0.0973511
18,2,0.0115967,0.020752,-0.0088501,0.0396729,0.00640869,0.0271606,0.0405884,0.0305176,0.00549316,0.0167847,-0.0305176,0.0115967,0.0878906
18,3,0.0152588,0.0137329,0.00579834,0.0393677,0.022583,-0.00640869,0.0326538,0.0219727,0.0289917,-0.00579834,-0.0216675,0.0219727,0.114441
18,4,0.0186157,0.00366211,0.00244141,0.0457764,0.020752,-0.00274658,0.0326538,0.0335693,0.0253296,-0.00457764,-0.0256348,0.0332642,0.0848389
19,0,0.0970459,-0.0180054,0.015564,-0.0268555,0.0195312,-0.0408936,0.0408936,0.0256348,0.0283813,-0.0357056,-0.050354,0.00793457,0.0332642
19,1,-0.0323486,-0.0299072,0.0354004,0.0588989,0.0088501,-0.0296021,0.0357056,0.00701904,0.0323486,0.00396729,0.00793457,0.0125122,0.0152588
19,2,0.020752,-0.0299072,0.0115967,0.0259399,-0.0448608,-0.0213623,0.0100708,0.0689697,0.0320435,-0.0198364,-0.0213623,0.0231934,0.0463867
19,3,0.0241089,-0.0213623,-0.0152588,0.0265503,0.0265503,0.00366211,0.0186157,0.0372314,0.0170898,0.0161743,-0.0265503,0.0561523,0.0753784
19,4,0.0479126,-0.0238037,0.010376,0.067749,0.0265503,-0.0131226,0.0183105,0.043335,0.0183105,-0.00305176,-0.00762939,0.0231934,0.0717163
20,0,0.017395,-0.0350952,0,0.0256348,0.039978,0.0241089,0.0222778,0.050354,0.0357056,0.0201416,-0.043335,0.0201416,0.0891113
20,1,0.0143433,-0.00671387,0.0701904,0.0418091,0.0280762,-0.0268555,0.0274658,0.0231934,0.0396729,0.0210571,-0.0372314,0.0152588,0.0805664
20,2,0.0195312,0.0167847,0.012207,0.0616455,0.0460815,0.0106812,0.0289917,0.0408936,0.0158691,0.0106812,-0.0302124,0.0106812,0.0775146
20,3,0.0253296,-0.0253296,0.0109863,0.0332642,0.038147,0.0784302,0.0201416,0.0769043,0.00976562,0.0183105,-0.0286865,0.0241089,0.0775146
20,4,0.017395,0.0238037,0.0109863,0.0445557,0.0488281,0.0643921,0.0234985,0.0442505,0.0393677,0.0189209,-0.0765991,0.0231934,0.0604248
21,0,0.0146484,0.0375366,0.017395,0.0787354,0.0494385,0.0439453,0.0714111,0.0317383,0.0375366,0.0256348,-0.0244141,0.0332642,0.0592041
21,1,0.0210571,0.020752,0.0204468,0.0524902,-0.00946045,0.0326538,0.0247192,0.0476074,0.0689697,0.0137329,-0.0231934,0.0088501,0.0668335
21,2,0.00732422,0.0421143,0.0250244,0.043335,0.0424194,-0.00579834,0.0234985,0.0375366,0.0692749,0.0210571,-0.0445557,-0.00915527,0.0674438
21,3,0.0216675,0.0479126,0.0134277,-0.0088501,0.0286865,0.0631714,0.0280762,0.0183105,0.0448608,0.0668335,-0.0320435,0.027771,0.0439453
21,4,0.020752,0.00579834,0.0250244,0.0283813,0.0396729,0.0900269,0.0241089,-0.0177002,0.045166,0.0445557,-0.0262451,0.0488281,0.0585938
22,0,0.0137329,-0.0143433,0.0177002,0.0674438,0.0283813,0.11261,0.0332642,0.0454712,0.0341797,0.0305176,-0.0170898,0.0216675,0.0457764
22,1,0.0463867,-0.0268555,0.0140381,0.0466919,0.0305176,0.119019,0.0354004,0.0305176,0.0430298,0.0167847,-0.0372314,0.0274658,0.0674438
22,2,0.0268555,-0.0463867,0.0119019,0.0601196,0.00305176,0.0817871,0.0146484,0.0274658,0.0354004,0.0244141,-0.0213623,0.0244141,0.0527954
22,3,0.0320435,-0.00579834,0.0216675,0.0421143,0.0268555,0.0585938,0.0415039,0.00671387,0.000305176,0.010376,-0.0265503,-0.0106812,0.057373
22,4,0.0161743,-0.00396729,0.0494385,0.0350952,0.0360107,0.055542,0.0317383,0.0238037,0.0418091,0.0344849,-0.0280762,0.00732422,0.0631714
23,0,0.0259399,-0.00976562,0.0253296,0.0344849,-0.00305176,0.0460815,0.0311279,0.0161743,0.0460815,0.0213623,-0.0323486,0.0283813,0.062561
23,1,0.0170898,-0.0320435,0.0271606,0.0317383,0.0338745,0.050354,0.0445557,0.0137329,0.0390625,0.0241089,-0.0296021,0.0244141,0.0473022
23,2,0.00244141,-0.0335693,0.0146484,0.0259399,0.0247192,0.0460815,0.00152588,0.0402832,0.0512695,0.0234985,-0.0152588,0.027771,0.0549316
23,3,0.00244141,0.0201416,-0.00213623,0.062561,0.0302124,0.0524902,0.0216675,0.0366211,0.0476074,0.0292969,-0.00305176,0.0149536,0.0430298
23,4,0.020752,0.0775146,0.0109863,0.0320435,0.0753784,0.0338745,0.0296021,-0.0326538,0.0494385,0.0308228,-0.0143433,0.0283813,0.078125
24,0,0.0137329,0.0244141,0.0164795,0.0198364,0.0271606,0.0210571,0.00335693,0.0344849,0.0366211,0.0430298,-0.0198364,0.0247192,0.126038
24,1,-0.0012207,0.0509644,0.0308228,0.0286865,0.0457764,0.0119019,0.0369263,0.0186157,0.0317383,0.0167847,-0.0247192,0.00823975,0.0732422
24,2,0.00335693,0.0170898,0.0387573,0.0259399,0.0469971,-0.0234985,0.0302124,0.0375366,-0.0234985,0.0482178,-0.0289917,0.0204468,0.0445557
24,3,-0.000305176,0.022583,0.0280762,0.0219727,0.110779,0.00762939,0.0265503,0.015564,0.0216675,0.0250244,-0.032959,0.00518799,0.0299072
24,4,0.0543213,0.0146484,0.0213623,0.0479126,0.0360107,0.0088501,0.0183105,0.0317383,0.0375366,0.0296021,-0.0610352,0.0192261,0.0241089
25,0,0.0656128,0.00976562,0.0286865,0.0384521,0.0137329,0.0210571,0.0128174,0.0186157,0.0152588,-0.00183105,-0.0320435,0.00488281,0.0286865
25,1,0.0292969,0.0119019,0.020752,0.00549316,0.0466919,0.0128174,0.0970459,0.0402832,0.0378418,0.0494385,-0.0448608,0.0152588,0.017395
