Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
12,2,0.0259399,0.0274658,0.0189209,0.0195312,0.0311279,0.0274658,0.0219727,0.0250244,0.00915527,0.0109863,-0.0256348,0.0012207,0.00671387
12,3,0.0262451,0.0283813,0.0296021,0.00732422,0.0402832,0.038147,0.0143433,0.0268555,-0.0384521,0.0354004,-0.0112915,0.0201416,0.0280762
12,4,0.0228882,0.0231934,0.00488281,0.0283813,0.0314331,0.0421143,0.0296021,0.0137329,0.00823975,0.0213623,-0.0308228,0.0177002,0.0418091
13,0,0.0210571,0.0866699,0.0250244,0.0289917,-0.0231934,0.0253296,0.0210571,0.0628662,0.0262451,0.0198364,-0.0244141,0.00366211,0.0262451
13,1,0.0479126,0.0192261,0.0466919,0.0231934,0.0396729,0.0372314,0.0183105,0.0296021,0.0158691,0.0158691,-0.0234985,0.0268555,0.0354004
13,2,0.039978,0.0253296,0.0744629,0.0445557,0.0350952,0.0360107,0.0198364,0.0183105,0.0143433,0.0189209,-0.0180054,0.012207,0.0222778
13,3,0.0180054,0.010376,0.0747681,0.0424194,0.0238037,0.0363159,0.0369263,-0.00274658,0.012207,0.0146484,0.0192261,0.0167847,0.0289917
13,4,0.0112915,-0.0183105,0.0494385,0.0167847,0.03479,0.0262451,0.065918,0.0271606,0.00183105,0.0241089,-0.015564,0.038147,0.0302124
14,0,0.0180054,0.0152588,0.050354,0.0369263,0.0311279,0.0161743,0.0286865,0.0146484,0.0100708,0.0286865,-0.020752,0.0201416,-0.0274658
14,1,0.0128174,0.0219727,0.0283813,0.0286865,0.020752,0.0253296,0.0332642,-0.00579834,0.0259399,0.017395,-0.0161743,-0.0317383,0.0271606
14,2,0.017395,0.0158691,0.0479126,0.0405884,0.0296021,0.0753784,0.0112915,0.0204468,0.0213623,-0.00518799,-0.0289917,0.010376,0.0350952
14,3,0.0317383,-0.0320435,0.0305176,0.0286865,0.0369263,0.0134277,0.0250244,0.055542,0.0167847,0.0164795,-0.0268555,0.0408936,0.0283813
14,4,0.017395,-0.000610352,0.0164795,0.0482178,0.0265503,0.032959,0.0323486,0.0146484,0.0161743,0.0210571,-0.0268555,0.017395,0.0299072
15,0,0.022583,0.0198364,-0.0241089,0.078125,0.0323486,0.0454712,0.0299072,0.0335693,0.0137329,0.00457764,-0.0177002,0.0189209,0.0262451
15,1,0.0195312,0.0143433,0.0125122,0.0335693,0.0286865,0.0363159,0.00305176,0.0164795,0.0137329,0.0204468,-0.0213623,0.0119019,0.0241089
15,2,0.0326538,0.0296021,-0.0119019,0.0436401,0.0256348,0.0411987,0.0177002,0.0418091,0.0238037,0.0335693,-0.0518799,0.0137329,0.0238037
15,3,0.00793457,0.015564,-0.0189209,0.00946045,0.0274658,0.0256348,0.0250244,0.0219727,0.00488281,0.0177002,-0.0201416,0.00701904,0.0231934
15,4,0.00946045,0.0256348,-0.0167847,0.0201416,0.0152588,0.0357056,0.0247192,0.0408936,0.0170898,0.0158691,-0.020752,0.0128174,0.0366211
16,0,0.0662231,-0.00183105,-0.00488281,0.0250244,0.0320435,0.0180054,0.0183105,0.00915527,-0.00305176,0.0256348,-0.0189209,0.0149536,0.0183105
16,1,0.0131226,0.0180054,0.0445557,0.0268555,0.0262451,0.0375366,0.0674438,0.0186157,0.0149536,0.0152588,-0.0241089,0.00671387,0.0204468
16,2,0.020752,0.010376,0.00518799,0.0265503,0.0228882,0.0308228,0.0115967,0.0314331,0.0128174,0.00518799,-0.00854492,0.0189209,0.000610352
16,3,0.0149536,0.0274658,-0.0482178,0.00915527,0.0299072,-0.0146484,0.022583,0.0296021,0.0466919,0.00823975,-0.0119019,0.0588989,0.0167847
16,4,0.0262451,0.050354,0.0125122,0.0189209,0.0305176,0.0228882,0.0350952,0.0146484,0.0106812,0.0161743,-0.0186157,-0.0112915,0.0427246
17,0,0.0283813,0.00610352,0.0192261,0.0283813,0.00671387,0.00854492,0.038147,0.0289917,-0.0479126,0.0253296,-0.0350952,0.0628662,0.0244141
17,1,-0.0161743,0.0100708,0.0466919,0.043335,0.038147,0.0332642,0.0421143,0.0201416,0.0283813,0.0436401,0.0112915,0.0180054,0.0140381
17,2,0.0125122,0.0128174,0.0756836,0.0253296,0.0372314,0.0332642,0.0292969,0.00762939,-0.0238037,0.0283813,-0.00640869,0.0271606,0.0149536
17,3,0.00457764,0.00915527,0.0759888,0.032959,0.0335693,0.0350952,0.0402832,0.00671387,0.0195312,0.0274658,-0.00427246,0.0158691,0.0592041
17,4,0.0524902,-0.0128174,0.0396729,0.00518799,0.0183105,0.0296021,0.0259399,0.0296021,0.0198364,0.0177002,-0.0253296,0.0109863,0.0344849
18,0,0.00976562,0.0280762,0.0369263,0.0393677,0.0262451,0.0262451,0.038147,0.00518799,0.0537109,0.0247192,-0.0119019,0.0289917,0.0125122
18,1,0.0271606,0.00244141,0.0149536,0.0189209,0.0338745,0.0683594,0.0366211,0.0250244,-0.00762939,0.0256348,-0.0393677,0.0408936,0.00305176
18,2,0.0204468,0.0283813,0.0250244,0.0430298,0.0909424,0.0408936,0.0387573,-0.0289917,0.0167847,0.0100708,-0.0134277,0.0256348,0.00274658
18,3,0.0198364,0.010376,0.0466919,0.0387573,0.0311279,0.0228882,0.0393677,0.0231934,0.0592041,0.0387573,-0.0119019,0.0152588,0.00427246
18,4,0.0222778,0.0167847,0.0137329,0.0292969,0.0161743,0.0222778,0.027771,0.0247192,0.0186157,0.0286865,0.017395,0.0210571,0.0137329
19,0,0.0259399,0.0143433,-0.0012207,0.0268555,0.020752,0.0317383,0.0320435,0.00732422,0.0204468,0.0408936,-0.0125122,0.0274658,0.00793457
19,1,0.00457764,0.0320435,-0.00671387,0.0418091,0.0384521,0.0421143,0.0405884,0.0338745,0.0350952,-0.0109863,-0.039978,-0.00518799,0.0378418
19,2,0.00915527,0.0222778,-0.0289917,0.0241089,0.0262451,0.0338745,0.0305176,0.0112915,0.017395,0.0820923,-0.0314331,0.00915527,0.0439453
19,3,0.015564,0.0088501,-0.00701904,0.0579834,0.0387573,0.0314331,0.085144,0.0161743,0.0213623,0.0668335,-0.00915527,0.0180054,0.0384521
19,4,0.0204468,0.0494385,-0.00335693,0.0210571,0.020752,0.0335693,0.0408936,0.0390625,0.0158691,0.0253296,-0.0216675,-0.010376,0.012207
20,0,0.0152588,0.0146484,-0.00946045,0.0125122,0.0250244,-0.0119019,0.0283813,0.0314331,0.00946045,0.0195312,-0.0125122,0.0143433,0.0289917
20,1,0.0195312,0.0259399,-0.0115967,0.0238037,0.0088501,0.0543213,0.0457764,0.0299072,0.020752,0.0213623,-0.0152588,0.0167847,0.0167847
20,2,0.0088501,0.0231934,-0.0228882,0.0286865,0.0299072,0.039978,0.0390625,0.0140381,0.0161743,0.0341797,-0.0253296,0.0158691,-0.00518799
20,3,0.0375366,0.0231934,0.0109863,0.0488281,0.0292969,0.0518799,0.0192261,0.0326538,0.0344849,0.0366211,-0.0234985,0.0234985,0.0213623
20,4,0.010376,-0.0357056,0.0320435,0.0189209,0.020752,0.0338745,0.0393677,0.020752,0.0195312,0.0140381,-0.0100708,-0.00457764,0.0161743
21,0,0.0231934,0.00823975,0.017395,0.0189209,0.085144,0.039978,0.0405884,0.0396729,0.0137329,0.0119019,-0.0442505,0.0088501,0.0250244
21,1,0.0234985,0.0308228,0.010376,0.00457764,0.03479,0.0268555,0.0396729,0.0341797,0.032959,0.0262451,-0.0152588,0.00396729,0.017395
21,2,0.0112915,0.00946045,0.078125,0.0308228,0.0234985,0.0302124,0.0491333,0.0201416,0.00915527,0.0283813,-0.0186157,0.00152588,-0.00701904
21,3,0.0177002,0.0912476,0.0750732,0.032959,-0.0305176,0.0415039,0.0262451,-0.0164795,0.00793457,0.022583,-0.0186157,0.0131226,0.0274658
21,4,-0.00427246,0.0143433,0.015564,0.0360107,0.0326538,0.0100708,0.0579834,0.0140381,0.0213623,0.0271606,-0.0201416,0.0161743,0.0189209
22,0,0.0167847,0.022583,0.0375366,0.0234985,0.0253296,0.0189209,0.0286865,0.0317383,0.0424194,0.0210571,-0.0149536,0.0204468,0.0177002
22,1,0.0378418,0.00427246,0.0387573,0.0195312,0.017395,0.0292969,0.0402832,0.0335693,0.0167847,0.00732422,-0.020752,0.010376,-0.0341797
22,2,0.00946045,-0.00183105,0.00366211,0.00854492,0.00915527,0.0463867,0.0427246,0.0180054,0.0256348,0.0228882,-0.0112915,0.00701904,0.0143433
22,3,0.0515747,0.0140381,0.0222778,0.020752,0.017395,0.015564,0.0415039,0.027771,0.0314331,0.0137329,-0.0427246,0.0115967,0.0088501
22,4,0.0210571,-0.0213623,0.000305176,0.0247192,0.0152588,0.0274658,0.0390625,0.0222778,0.027771,0.017395,-0.00335693,0.0289917,0.0149536
23,0,0.0149536,0.00427246,0.0170898,0.032959,0.020752,0.0296021,0.0238037,0.0234985,0.0250244,0,-0.0183105,0.0143433,0.0799561
23,1,0.0216675,0.0119019,0.00152588,0.0296021,0.0274658,0.0134277,0.0402832,0.0271606,0.032959,0.0357056,-0.020752,0.0250244,0.0201416
23,2,0.0186157,0.00823975,0.00640869,0.00946045,0.0134277,0.0317383,0.0152588,0.0546265,0.0167847,0.0311279,-0.0299072,0.0161743,0.0280762
23,3,0.00579834,0.00793457,-0.0473022,0.0231934,0.0231934,0.0335693,0.0308228,0.0170898,0.0286865,0.0195312,-0.0140381,0.00335693,-0.0289917
23,4,0.0265503,0.0201416,0.000915527,0.0228882,0.0326538,0.0299072,0.0402832,0.0244141,0.00579834,0.0292969,-0.0259399,0.0259399,0.0292969
24,0,0.00946045,0.0137329,-0.0244141,0.0302124,0.0222778,0.0216675,0.0439453,0.0256348,0.0189209,0.0344849,-0.00915527,0.0213623,0.0167847
24,1,0.0274658,0.0299072,-0.03479,0.0238037,0.0189209,0.0308228,0.0204468,0.0338745,0.0418091,0.0131226,-0.0234985,-0.00213623,0.00732422
24,2,0.0152588,0.00579834,-0.0128174,0.0262451,0.0299072,0.0314331,0.0704956,0.0250244,0.0302124,0.0378418,-0.0241089,-0.0125122,0.0183105
24,3,0.0143433,0.0259399,0.00274658,0.0189209,0.0210571,0.0512695,0.0317383,0.00762939,-0.00976562,0.022583,-0.0253296,-0.0323486,0.0149536
24,4,0.0234985,0.00640869,0.0308228,0.0149536,0.0244141,0.0314331,0.0292969,0.0311279,0.0234985,0.0247192,-0.0238037,0.0244141,0.0125122
25,0,0.0259399,0.015564,0.0183105,0.0326538,0.0247192,0.0375366,0.032959,0.0537109,0.0326538,0.0262451,0.00457764,0.0299072,0.0192261
25,1,0.0332642,0.0204468,0.0323486,0.0231934,0.0250244,0.0354004,0.0183105,0.0430298,0.020752,0.022583,-0.0167847,0.00976562,0.0112915
25,2,0.0146484,0.0125122,0.0411987,0.0286865,0.015564,0.0299072,0.0314331,0.0170898,0.0259399,0.0234985,-0.0604248,0.0106812,0.0158691
25,3,0.0213623,0.0204468,0.0588989,0.0219727,0.0250244,0.0418091,0.0360107,0.027771,0.027771,0.0268555,-0.0234985,-0.00579834,0.00762939
25,4,-0.00549316,0.0228882,0.0439453,0.0350952,0.0180054,0.015564,0.0357056,0.0558472,0.0250244,0.0143433,-0.0335693,0.00946045,0.0244141
26,0,0.0323486,0.0183105,0.0531006,0.0222778,0.0305176,0.0164795,0.0253296,0.0198364,0.0427246,0.00274658,-0.020752,-0.0289917,0.0164795
26,1,0.00335693,-0.000915527,0.0396729,0.0112915,0.0149536,0.0149536,0.0186157,0.0268555,0.00762939,0.0231934,-0.0192261,0.0296021,0.0601196
26,2,0.0292969,0.0195312,0.020752,0.015564,0.0253296,0.0985718,0.0299072,0.0384521,-0.032959,0.0418091,-0.0192261,0.0558472,-0.00823975
26,3,0.0231934,0.00976562,0.0506592,0.0289917,0.0408936,0.0268555,0.0418091,0.0494385,0.0180054,0.0244141,-0.0521851,0.0311279,0.0164795
26,4,0.0344849,-0.00823975,0.00610352,0.0668335,0.0390625,0.0292969,-0.0186157,0.0234985,0.0195312,0.00396729,-0.0247192,0.0137329,0.012207
27,0,0.0384521,0.0152588,0,0.0466919,0.0308228,0.0256348,0.038147,0.0137329,0.0216675,0.00762939,-0.0231934,0.015564,0.0125122
27,1,0.0213623,0.0128174,-0.0360107,0.0320435,0.0198364,-0.0469971,0.0271606,0.0265503,0.020752,-0.00823975,-0.0286865,0.043335,0.0302124
27,2,0.00854492,0.0350952,-0.0234985,0.0250244,0.0244141,0.0308228,0.0332642,0.0405884,0.0201416,0.00610352,-0.0268555,-0.0012207,0.010376
27,3,0.0137329,0.015564,-0.0250244,0.0231934,0.0222778,0.0131226,0.0198364,0.0253296,-0.0177002,0.0137329,-0.0262451,0.0610352,0.0146484
27,4,0.00732422,0.0210571,-0.027771,0.00396729,0.0213623,0.0839233,0.0219727,0.0421143,0.0491333,0.0088501,-0.027771,0.0256348,0.022583
28,0,0.0170898,0.0238037,-0.0201416,0.0189209,-0.00457764,0.0192261,0.0247192,0.0210571,-0.0341797,0.00762939,-0.0219727,-0.0402832,0.0335693
28,1,0.0210571,0.0259399,-0.0332642,0.0146484,0.0305176,0.012207,0.0296021,0.0338745,-0.00274658,0.0128174,-0.0231934,-0.00305176,0.0161743
28,2,0.0195312,0.0271606,0,0.0088501,0.0192261,0.0427246,0.0262451,0.0231934,0.0177002,0.0204468,0.0119019,0.0247192,0.00976562
28,3,0.0292969,0.0335693,0.0125122,0.00762939,0.017395,0.0262451,0.0289917,0.0372314,0.0253296,-0.0201416,-0.0210571,0.0192261,0.0204468
28,4,0.0390625,0.0198364,0.0442505,-0.00732422,-0.0158691,0.0180054,0.0338745,0.0308228,0.022583,0.0125122,-0.0265503,0.0311279,0.015564
29,0,0.0332642,0.0283813,0.00671387,0.0134277,0.0198364,0.0158691,0.0137329,0.0119019,0.0201416,-0.00457764,-0.0186157,0.0241089,0.0192261
29,1,-0.00579834,0.0137329,0.057373,0.00579834,0.06073,0.0128174,-0.00152588,0.0454712,0.03479,0.0119019,-0.0204468,0.0405884,0.0167847
29,2,0.0860596,0.0302124,0.0402832,0.0424194,0.0247192,0.010376,0.0363159,0.022583,0.0299072,0.0314331,-0.0375366,0.0247192,0.0244141
29,3,0.0436401,0.0302124,0.0387573,-0.00793457,0.0180054,0.0442505,0.0323486,0.0311279,0.0100708,0.038147,-0.0250244,0.0131226,0.00976562
29,4,0.0186157,0.0253296,0.0674438,0.0262451,0.00274658,0.0274658,0.0234985,0.027771,0.0180054,0.022583,-0.00732422,0.0167847,0.0112915
30,0,0.0317383,0.0115967,0.0680542,0.039978,0.0234985,0.0204468,0.0305176,0.0195312,0.0253296,-0.0241089,-0.0323486,0.0219727,0.0778198
30,1,0.0283813,0.0241089,0.0637817,0.0219727,0.0259399,-0.00366211,0.0131226,0.0210571,0.0161743,0.0332642,-0.0360107,0.0140381,0.0125122
30,2,0.0213623,0.0100708,0.0140381,0.032959,0.000610352,0.0448608,0.020752,0.0299072,0.0259399,0.0088501,-0.0149536,0.0143433,0.0305176
30,3,0.00915527,-0.0415039,0.0183105,0.0442505,0.0738525,0.0244141,0.0372314,0.0250244,0.0216675,0.00305176,-0.0247192,0.00976562,0.0271606
30,4,0.0189209,0.0274658,0.00732422,0.0152588,0.0228882,0.0112915,0.0210571,0.0222778,0.0189209,0.0411987,-0.0219727,0.0186157,0.0134277
31,0,0.0289917,0.022583,0.0210571,0.0143433,0.00579834,0.0259399,0.0332642,0.0466919,0.0161743,0.0753784,-0.0314331,0.0234985,-0.0274658
31,1,0.00213623,0.0115967,-0.00305176,0.0112915,0.0296021,0.0158691,0.0387573,0.0411987,0.0448608,0.0363159,-0.0396729,0.0146484,0.027771
31,2,0.0204468,0.0546265,-0.00274658,0.0143433,0.0213623,0.00854492,0.0335693,0.0323486,0.0228882,0.0457764,-0.0302124,0.0198364,0.00823975
31,3,-0.0106812,0.032959,-0.0265503,-0.0100708,0.0341797,0.0195312,0.0921631,0.0170898,0.0354004,-0.0012207,-0.0186157,0.0286865,0.0274658
31,4,0.0234985,-0.0338745,-0.0305176,-0.010376,0.0302124,0.0256348,0.0445557,0.0265503,0.03479,0.0341797,-0.0311279,0.0164795,0.0314331
32,0,0.0186157,0.0332642,-0.0186157,0.00915527,0.0265503,0.0256348,0.0292969,0.0131226,0.0305176,0.0405884,-0.0369263,0.0219727,0.0088501
32,1,0.0244141,0.00762939,-0.0128174,0.0106812,0.0302124,-0.00427246,0.0283813,0.0402832,0.0375366,0.0531006,-0.0137329,0.015564,0.0204468
