Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
15,3,0.0326538,0.0244141,0.00701904,0.0286865,0.000915527,0.0357056,0.0146484,0.0439453,-0.0195312,0.00244141,-0.017395,-0.0518799,0.022583
15,4,0.0216675,-0.00823975,0.00579834,0.0119019,0.00579834,-0.00610352,0.0280762,0.0439453,0.0100708,0.000915527,-0.0198364,-0.00488281,0.0213623
16,0,0.0363159,0.0222778,0.0146484,0.0119019,-0.0119019,0.0195312,0.00488281,0.0308228,0.022583,0.0134277,0.0198364,0.0137329,0.0238037
16,1,0.0259399,0.0201416,0.00946045,0.0213623,-0.000305176,0.0454712,0.0427246,0.0305176,0.0369263,0.0222778,-0.0234985,0.0146484,0.0262451
16,2,0.022583,0.0875854,0.0198364,0.0189209,0.0375366,0.0115967,0.0244141,0.0271606,0.0296021,0.0192261,-0.0109863,0.0292969,0.0158691
16,3,0.043335,0.0198364,0.032959,0.0476074,0.0128174,0.0259399,0.0311279,0.0250244,0.017395,0.0241089,-0.00640869,0.0332642,0.0189209
16,4,0.0289917,0.0140381,0.0405884,-0.0204468,0.0317383,0.0213623,-0.0234985,0.0396729,0.0100708,-0.00762939,-0.0137329,0.00793457,0.0274658
17,0,-0.00427246,0.0241089,0.0152588,0.000610352,0.043335,0.0219727,0.022583,0.022583,0.0268555,0.0274658,-0.0253296,0.00549316,0.00915527
17,1,-0.0366211,0.0143433,0.00396729,0.0866699,0.0366211,0.027771,0.0515747,0.0286865,0.0320435,0.00488281,-0.0167847,0.0247192,0.0204468
17,2,0.0161743,0.0305176,0.0109863,0.0177002,0.0363159,-0.000610352,0.0238037,0.0390625,0.027771,0.022583,-0.0354004,0.0231934,0.00946045
17,3,0.0192261,0.0140381,0.027771,0.0115967,0.0515747,0.0363159,0.012207,0.0466919,0.0137329,0.0335693,-0.0335693,0.0476074,-0.020752
17,4,0.0265503,-0.0384521,0.0253296,0.0152588,0.0152588,0.0259399,0.0384521,0.0485229,0.0161743,0.0119019,-0.0396729,0.039978,0.0186157
18,0,0.0369263,0.0231934,0.00183105,0.012207,0.0292969,0.020752,0.0271606,0.0289917,0.0405884,0.0280762,-0.0222778,0.0180054,0.0177002
