Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,186.085,463.175,1144.45,190.876,195.406,1135.39,-18.4014,363.737,1215.78,-8.28791,258.638,1204.76,123.884,520.878,868.963,120.217,485.591,671.672,72.5688,479.442,499.98,76.0393,405.095,243.702,16.8026,353.098,199.003,230.36,410.805,196.596,145.49,146.897,841.225,118.18,170.315,649.115,-24.0927,159.679,490.269,-169.555,198.539,337.094,-250.382,234.464,355.806,-114.562,223.229,199.703
24,0,185.485,464.675,1143.84,190.238,196.717,1135.83,-19.0762,365.14,1215.58,-9.05148,260.065,1204.5,120.865,521.865,868.474,116.419,486.384,671.198,68.047,479.905,499.755,69.9311,405.147,243.514,10.4834,353.049,198.964,224.051,410.677,196.368,150.884,147.345,841.757,127.067,170.242,649.198,-17.2544,159.299,492.439,-165.385,198.132,342.066,-245.645,234.682,362.983,-115.131,222.594,201.982
25,0,184.799,466.118,1143.23,189.486,197.945,1136.23,-19.8652,366.518,1215.34,-9.93587,261.478,1204.2,117.891,522.808,867.974,112.651,487.141,670.701,63.5467,480.338,499.517,63.8482,405.182,243.326,4.1961,352.99,198.929,217.756,410.552,196.137,156.123,147.667,842.389,135.988,170.155,649.468,-10.1355,158.923,494.627,-160.651,197.715,346.829,-240.442,234.88,369.609,-114.411,221.819,204.566
26,0,184.028,467.495,1142.62,188.622,199.085,1136.61,-20.7642,367.862,1215.04,-10.9371,262.87,1203.87,114.976,523.699,867.472,108.914,487.856,670.191,59.066,480.741,499.272,57.7905,405.201,243.142,-2.05939,352.923,198.907,211.474,410.431,195.906,161.158,147.866,843.12,144.89,170.061,649.939,-2.76747,158.557,496.808,-155.363,197.289,351.307,-234.815,235.038,375.559,-112.292,220.918,207.413
27,0,183.174,468.8,1142.02,187.648,200.129,1136.96,-21.7679,369.166,1214.71,-12.05,264.235,1203.51,112.129,524.528,866.973,105.212,488.523,669.674,54.6023,481.112,499.026,51.758,405.205,242.972,-8.28352,352.85,198.91,205.204,410.314,195.676,165.942,147.947,843.95,153.721,169.967,650.623,4.81999,158.207,498.958,-149.531,196.855,355.42,-228.798,235.14,380.718,-108.688,219.912,210.461
28,0,182.24,470.025,1141.46,186.566,201.075,1137.29,-22.8695,370.425,1214.35,-13.2683,265.567,1203.13,109.358,525.284,866.485,101.544,489.137,669.162,50.1523,481.45,498.788,45.75,405.194,242.823,-14.4773,352.776,198.948,198.943,410.2,195.446,170.434,147.917,844.875,162.433,169.878,651.531,12.5998,157.876,501.047,-143.162,196.415,359.091,-222.414,235.173,384.981,-103.544,218.828,213.638
29,0,181.226,471.166,1140.93,185.38,201.92,1137.61,-24.0613,371.634,1213.97,-14.5846,266.859,1202.75,106.666,525.96,866.017,97.908,489.694,668.662,45.7124,481.754,498.565,39.7652,405.173,242.704,-20.6425,352.703,199.03,192.69,410.09,195.22,174.602,147.785,845.895,170.979,169.8,652.668,20.5478,157.569,503.046,-136.256,195.971,362.245,-215.674,235.127,388.257,-96.8373,217.694,216.862
30,0,180.134,472.216,1140.46,184.097,202.662,1137.92,-25.3347,372.787,1213.59,-15.9907,268.107,1202.39,104.052,526.551,865.574,94.3024,490.189,668.186,41.2785,482.025,498.368,33.8016,405.144,242.623,-26.7816,352.636,199.166,186.444,409.982,194.996,178.42,147.561,847.007,179.315,169.735,654.036,28.6428,157.286,504.925,-128.814,195.524,364.814,-208.577,234.996,390.471,-88.5771,216.54,220.049
31,0,178.966,473.173,1140.05,182.72,203.301,1138.24,-26.6798,373.883,1213.21,-17.4778,269.303,1202.04,101.513,527.049,865.165,90.7229,490.621,667.742,36.8463,482.263,498.204,27.8568,405.11,242.587,-32.8978,352.58,199.365,180.204,409.877,194.778,181.871,147.254,848.207,187.398,169.684,655.633,36.8666,157.029,506.656,-120.829,195.077,366.736,-201.107,234.779,391.566,-78.8019,215.394,223.116
32,0,177.724,474.033,1139.71,181.259,203.837,1138.58,-28.0865,374.917,1212.86,-19.0363,270.445,1201.73,99.0426,527.453,864.793,87.1645,490.987,667.34,32.4118,482.467,498.083,21.9274,405.076,242.603,-38.9955,352.541,199.635,173.97,409.774,194.565,184.947,146.878,849.493,195.191,169.648,657.451,45.2039,156.798,508.208,-112.292,194.633,367.961,-193.234,234.483,391.506,-67.5764,214.276,225.986
33,0,176.408,474.794,1139.45,179.721,204.272,1138.94,-29.544,375.89,1212.54,-20.656,271.527,1201.48,96.6311,527.76,864.465,83.6219,491.286,666.988,27.9713,482.639,498.013,16.0099,405.046,242.678,-45.0795,352.523,199.981,167.738,409.674,194.359,187.648,146.443,850.862,202.657,169.626,659.479,53.6418,156.591,509.557,-103.191,194.196,368.451,-184.922,234.115,390.273,-54.9869,213.203,228.592
